time,ax,ay,az,wx,wy,wz
0.001,0.02,0.01,-0.03,-0.02,0,0.01
0.003,0.02,0.01,-0.02,-0.02,0,0.01
0.004,0.02,0.01,-0.02,-0.02,-0.01,0.01
0.006,0.02,0.01,-0.02,-0.02,-0.01,0.01
0.008,0.02,0.01,-0.02,-0.02,0,0.01
0.008,0.04,0.01,-0.02,-0.02,0,0.01
0.011,0.04,0.01,-0.02,-0.02,0,0.01
0.013,0.02,0.01,-0.01,-0.02,0,0.01
0.014,0.02,0.01,-0.01,-0.02,-0.01,0.02
0.016,0.02,0.01,-0.01,-0.02,-0.01,0.02
0.018,0.02,0.01,-0.01,-0.02,-0.01,0.01
0.018,0.02,0.02,-0.03,-0.02,-0.01,0.01
0.02,0.02,0.02,-0.03,-0.02,0,0.01
0.023,0.02,0.02,-0.03,-0.02,0,0.02
0.023,0.02,0.01,-0.01,-0.02,0,0.02
0.025,0.02,0.01,-0.01,-0.02,0,0.01
0.028,0.03,0.01,-0.03,-0.02,0,0.01
0.028,0.03,0.01,-0.03,-0.02,0,0.01
0.031,0.03,0.01,-0.03,-0.03,0,0.01
0.033,0.04,0,-0.02,-0.03,0,0.01
0.033,0.04,0,-0.02,-0.02,0,0.01
0.035,0.04,0,-0.02,-0.02,0,0.01
0.038,0.04,0,-0.02,-0.02,0,0.01
0.038,0.03,0.01,-0.01,-0.02,0,0.01
0.04,0.03,0.01,-0.01,-0.03,0,0.01
0.043,0.02,0,-0.02,-0.03,0,0.01
0.043,0.02,0,-0.02,-0.03,0,0.01
0.046,0.02,0,-0.02,-0.02,0,0.02
0.048,0.02,0,-0.02,-0.03,0,0.02
0.049,0.01,0.01,-0.01,-0.03,0,0.02
0.05,0.01,0.01,-0.01,-0.02,-0.01,0.01
0.052,0,0.01,-0.02,-0.02,-0.01,0.01
0.053,0,0.01,-0.02,-0.02,0,0.01
0.055,0,0.01,-0.02,-0.02,0,0.01
0.058,0,0.01,-0.02,-0.02,0,0.01
0.058,0.01,0.02,-0.02,-0.02,0,0.01
0.059,0.01,0.02,-0.02,-0.03,0,0.01
0.063,0.01,0.02,-0.02,-0.03,0,0.01
0.063,0.03,0.01,-0.03,-0.03,0,0.01
0.065,0.03,0.01,-0.03,-0.03,0,0.01
0.068,0.03,0.01,-0.03,-0.02,0,0.01
0.068,0.03,0,-0.03,-0.02,0,0.01
0.07,0.03,0,-0.03,-0.03,0,0.01
0.072,0.04,0.01,-0.01,-0.03,0,0.01
0.073,0.04,0.01,-0.01,-0.03,0,0.01
0.075,0.04,0.01,-0.01,-0.03,0,0.01
0.077,0.04,0.01,-0.02,-0.03,0,0.01
0.078,0.04,0.01,-0.02,-0.03,0,0.01
0.082,0.04,0.01,-0.02,-0.03,0,0.01
0.084,0.04,0.01,-0.02,-0.03,0,0.01
0.085,0.04,0.02,-0.03,-0.03,0,0.01
0.115,0.04,0.02,-0.03,-0.03,0,0.01
0.116,0.04,0.02,-0.03,-0.02,0,0.01
0.116,0.04,-0.01,-0.02,-0.02,0,0.01
0.116,0.04,-0.01,-0.02,-0.03,0,0.01
0.116,0.05,-0.01,-0.03,-0.03,0,0.01
0.117,0.05,-0.01,-0.03,-0.03,0,0.01
0.117,0.05,-0.01,-0.03,-0.02,0,0.01
0.117,0.05,0,-0.02,-0.02,0,0.01
0.117,0.05,0,-0.02,-0.02,0,0.01
0.118,0.05,0,-0.02,-0.02,0,0.01
0.118,0.04,-0.01,-0.01,-0.02,0,0.01
0.118,0.04,-0.01,-0.01,-0.02,0,0.01
0.118,0.04,-0.01,-0.01,-0.02,0,0.01
0.119,0.04,-0.01,-0.01,-0.02,0,0.01
0.119,0.04,-0.02,0,-0.02,0,0.01
