
time,ax,ay,az,wx,wy,wz,
0.002,-0.06,-0.21,0.03,-0.01,0.01,0.01,
0.002,-0.05,-0.24,0.03,-0.01,0.01,0.01,
0.003,-0.05,-0.24,0.03,-0.01,0.01,0.01,
0.003,-0.05,-0.24,0.03,-0.01,0.01,0.01,
0.003,-0.02,-0.25,0.05,-0.01,0.01,0.01,
0.003,-0.02,-0.25,0.05,-0.00,0.01,0.00,
0.004,0.04,-0.26,0.03,-0.00,0.01,0.00,
0.004,0.04,-0.26,0.03,0.00,0.02,0.00,
0.009,0.04,-0.26,0.03,0.01,0.01,-0.00,
0.01,0.04,-0.26,0.03,0.01,0.01,-0.00,
0.01,0.11,-0.23,0.11,0.01,0.01,-0.00,
0.012,0.11,-0.23,0.11,0.01,0.01,-0.00,
0.013,0.11,-0.23,0.11,0.02,0.02,-0.00,
0.013,0.17,-0.20,0.05,0.02,0.02,-0.00,
0.016,0.17,-0.20,0.05,0.02,0.03,0.00,
0.025,0.17,-0.20,0.05,0.02,0.03,-0.00,
0.025,-0.11,-0.10,-0.14,0.02,0.03,-0.00,
0.026,-0.11,-0.10,-0.14,0.02,0.02,0.00,
0.026,-0.11,-0.10,-0.14,0.02,0.02,-0.00,
0.027,0.07,0.08,0.06,0.02,0.02,-0.00,
0.027,0.07,0.08,0.06,0.02,0.02,-0.00,
0.028,0.07,0.08,0.06,0.02,0.02,0.00,
0.029,0.03,0.17,-0.12,0.02,0.02,0.00,
0.03,0.03,0.17,-0.12,0.02,0.02,0.00,
0.033,0.03,0.17,-0.12,0.02,0.01,0.00,
0.033,-0.03,0.31,-0.09,0.02,0.01,0.00,
0.046,-0.03,0.31,-0.09,0.02,0.01,0.00,
0.046,-0.03,0.31,-0.09,0.02,0.01,0.00,
0.046,0.13,0.37,-0.06,0.02,0.01,0.00,
0.047,0.13,0.37,-0.06,0.01,0.01,0.00,
0.047,0.13,0.37,-0.06,0.01,0.01,0.00,
0.047,-0.04,0.34,-0.19,0.01,0.01,0.00,
0.047,-0.04,0.34,-0.19,0.01,0.00,0.00,
0.048,0.06,0.33,-0.07,0.01,0.00,0.00,
0.048,0.06,0.33,-0.07,0.00,0.00,0.00,
0.059,0.06,0.33,-0.07,0.00,0.00,0.00,
0.06,0.00,0.24,-0.17,0.00,0.00,0.00,
0.06,0.00,0.24,-0.17,-0.00,0.01,0.00,
0.06,0.00,0.24,-0.17,-0.00,0.01,0.00,
0.06,-0.01,0.15,-0.12,-0.00,0.01,0.00,
0.061,-0.01,0.15,-0.12,-0.00,0.01,0.00,
0.061,-0.01,0.15,-0.12,-0.01,0.01,-0.00,
0.062,0.06,0.02,-0.09,-0.01,0.01,-0.00,
0.062,0.06,0.02,-0.09,-0.01,0.01,-0.00,
0.065,0.06,0.02,-0.09,-0.01,0.02,-0.00,
0.074,0.01,-0.09,-0.11,-0.01,0.02,-0.00,
0.075,0.01,-0.09,-0.11,-0.01,0.02,-0.00,
0.075,0.01,-0.09,-0.11,-0.01,0.02,-0.00,
0.075,0.01,-0.09,-0.11,-0.01,0.02,-0.00,
0.076,0.06,-0.16,-0.03,-0.01,0.02,-0.00,
0.076,0.06,-0.16,-0.03,-0.01,0.02,-0.00,
0.077,0.04,-0.23,-0.07,-0.01,0.02,-0.00,
0.077,0.04,-0.23,-0.07,-0.00,0.03,0.00,
0.079,0.04,-0.23,-0.07,-0.01,0.03,-0.00,
0.081,0.04,-0.23,-0.07,-0.01,0.03,-0.00,
0.082,0.06,-0.24,-0.01,-0.01,0.03,-0.00,
0.091,0.06,-0.24,-0.01,-0.00,0.03,-0.00,
0.091,0.06,-0.24,-0.01,-0.00,0.03,0.00,
0.091,0.06,-0.23,-0.01,-0.00,0.03,0.00,
0.092,0.06,-0.23,-0.01,0.00,0.03,-0.00,
