
time,ax,ay,az,wx,wy,wz,
0.002,-0.59,0.05,-0.23,0.01,-0.09,-0.02,
0.002,-0.59,0.05,-0.23,0.01,-0.10,-0.02,
0.002,-0.59,0.05,-0.23,0.01,-0.11,-0.02,
0.003,-0.52,-0.01,-0.08,0.01,-0.11,-0.02,
0.003,-0.52,-0.01,-0.08,0.01,-0.11,-0.02,
0.006,-0.52,-0.01,-0.08,0.02,-0.11,-0.02,
0.008,-0.54,-0.13,0.00,0.02,-0.11,-0.02,
0.008,-0.54,-0.13,0.00,0.02,-0.11,-0.02,
0.011,-0.54,-0.13,0.00,0.02,-0.11,-0.02,
0.013,-0.43,-0.20,0.12,0.02,-0.11,-0.02,
0.014,-0.43,-0.20,0.12,0.03,-0.12,-0.02,
0.015,-0.43,-0.20,0.12,0.03,-0.12,-0.02,
0.018,-0.43,-0.20,0.12,0.03,-0.12,-0.02,
0.018,-0.30,-0.19,0.08,0.03,-0.12,-0.02,
0.02,-0.30,-0.19,0.08,0.03,-0.11,-0.02,
0.023,-0.22,-0.21,0.16,0.03,-0.11,-0.02,
0.023,-0.22,-0.21,0.16,0.04,-0.11,-0.03,
0.025,-0.22,-0.21,0.16,0.04,-0.11,-0.03,
0.028,-0.15,-0.25,0.16,0.04,-0.11,-0.03,
0.028,-0.15,-0.25,0.16,0.04,-0.11,-0.03,
0.042,-0.15,-0.25,0.16,0.04,-0.11,-0.04,
0.043,-0.15,-0.25,0.16,0.05,-0.11,-0.04,
0.044,-0.10,-0.33,0.15,0.05,-0.11,-0.04,
0.044,-0.10,-0.33,0.15,0.05,-0.10,-0.04,
0.044,-0.10,-0.33,0.15,0.05,-0.11,-0.04,
0.045,-0.06,-0.33,0.15,0.05,-0.11,-0.04,
0.045,-0.06,-0.33,0.15,0.05,-0.10,-0.04,
0.046,-0.07,-0.31,0.13,0.05,-0.10,-0.04,
0.046,-0.07,-0.31,0.13,0.06,-0.10,-0.04,
0.047,-0.07,-0.31,0.13,0.06,-0.10,-0.04,
0.064,-0.07,-0.31,0.13,0.06,-0.09,-0.04,
0.066,-0.09,-0.29,0.11,0.06,-0.09,-0.04,
0.066,-0.09,-0.29,0.11,0.06,-0.09,-0.04,
0.067,-0.09,-0.29,0.11,0.06,-0.09,-0.04,
0.067,-0.12,-0.25,0.02,0.06,-0.09,-0.04,
0.068,-0.12,-0.25,0.02,0.06,-0.09,-0.04,
0.068,-0.12,-0.25,0.02,0.06,-0.09,-0.04,
0.068,-0.18,-0.22,0.06,0.06,-0.09,-0.04,
0.069,-0.18,-0.22,0.06,0.06,-0.09,-0.04,
0.069,-0.23,-0.17,0.04,0.06,-0.09,-0.04,
0.07,-0.23,-0.17,0.04,0.06,-0.09,-0.04,
0.07,-0.27,-0.10,0.02,0.06,-0.09,-0.04,
0.073,-0.30,-0.06,0.01,0.06,-0.09,-0.04,
0.074,-0.30,-0.06,0.01,0.06,-0.09,-0.04,
0.074,-0.30,-0.06,0.01,0.06,-0.08,-0.05,
0.075,-0.30,-0.06,0.01,0.06,-0.08,-0.04,
0.075,-0.30,-0.06,0.01,0.06,-0.08,-0.04,
0.075,-0.30,-0.06,0.01,0.06,-0.08,-0.04,
