
time,ax,ay,az,wx,wy,wz,
0.005,0.11,0.16,-0.08,0.02,0.00,0.00,
0.006,0.14,0.05,0.03,0.02,0.00,0.00,
0.006,0.14,0.05,0.03,0.03,0.00,0.00,
0.007,0.11,-0.04,0.08,0.03,0.00,0.00,
0.007,0.11,-0.04,0.08,0.02,0.00,-0.00,
0.008,0.11,-0.04,0.08,0.02,0.00,-0.00,
0.008,0.11,-0.04,0.08,0.02,0.00,-0.00,
0.008,0.07,-0.08,0.10,0.02,0.00,-0.00,
0.009,0.07,-0.08,0.10,0.02,-0.00,-0.00,
0.017,0.07,-0.08,0.10,0.02,-0.00,-0.00,
0.018,0.09,-0.06,0.17,0.02,-0.00,-0.00,
0.018,0.09,-0.06,0.17,0.02,-0.01,-0.00,
0.018,0.09,-0.06,0.17,0.02,-0.01,-0.00,
0.018,0.14,-0.04,0.19,0.02,-0.01,-0.00,
0.019,0.14,-0.04,0.19,0.02,-0.01,-0.00,
0.022,0.14,-0.04,0.19,0.02,-0.01,-0.00,
0.022,0.20,0.02,0.14,0.02,-0.01,-0.00,
0.023,0.20,0.02,0.14,0.02,-0.02,-0.00,
0.026,0.20,0.02,0.14,0.02,-0.02,-0.00,
0.026,0.21,0.05,0.13,0.02,-0.02,-0.00,
0.028,0.21,0.05,0.13,0.02,-0.02,-0.00,
0.037,0.21,0.05,0.13,0.02,-0.02,0.00,
0.037,0.14,0.05,0.09,0.02,-0.02,0.00,
0.038,0.14,0.05,0.09,0.02,-0.03,0.00,
0.038,0.14,0.05,0.09,0.01,-0.03,0.01,
0.038,0.12,0.10,0.00,0.01,-0.03,0.01,
0.038,0.12,0.10,0.00,0.01,-0.03,0.01,
0.04,0.12,0.10,0.00,0.01,-0.04,0.01,
0.04,0.02,0.07,-0.07,0.01,-0.04,0.01,
0.042,0.02,0.07,-0.07,0.02,-0.03,0.01,
0.053,0.02,0.07,-0.07,0.02,-0.03,0.01,
0.053,-0.13,-0.04,-0.07,0.02,-0.03,0.01,
0.053,-0.13,-0.04,-0.07,0.01,-0.00,0.01,
0.056,-0.13,-0.04,-0.07,0.01,-0.00,0.01,
0.056,-0.29,-0.40,-0.11,0.01,-0.00,0.01,
0.056,-0.29,-0.40,-0.11,0.01,-0.01,0.00,
0.056,-0.29,-0.40,-0.11,0.02,-0.01,-0.00,
0.057,-0.18,-0.34,0.03,0.02,-0.01,-0.00,
0.057,-0.18,-0.34,0.03,0.02,-0.00,-0.00,
0.059,-0.18,-0.34,0.03,0.03,-0.00,-0.00,
0.059,-0.09,-0.30,0.07,0.03,-0.00,-0.00,
0.068,-0.09,-0.30,0.07,0.03,-0.00,-0.00,
0.068,-0.09,-0.30,0.07,0.03,-0.01,-0.00,
0.068,-0.04,-0.19,0.02,0.03,-0.01,-0.00,
0.068,-0.04,-0.19,0.02,0.04,-0.00,-0.00,
0.069,-0.04,-0.19,0.02,0.04,-0.00,0.00,
0.069,-0.02,-0.04,0.04,0.04,-0.00,0.00,
0.072,-0.02,-0.04,0.04,0.04,-0.00,0.00,
0.074,0.01,0.12,0.04,0.04,-0.00,0.00,
0.074,0.01,0.12,0.04,0.04,-0.01,0.01,
0.076,0.01,0.12,0.04,0.05,0.00,0.00,
0.083,0.03,0.18,-0.02,0.05,0.00,0.00,
0.083,0.03,0.18,-0.02,0.05,-0.00,0.00,
0.083,0.03,0.18,-0.02,0.05,-0.00,0.00,
0.084,0.03,0.18,-0.02,0.05,-0.00,0.00,
0.084,0.01,0.20,-0.02,0.05,-0.00,0.00,
0.086,0.01,0.20,-0.02,0.05,-0.00,0.01,
0.088,0.01,0.20,-0.02,0.06,0.01,0.01,
0.089,-0.20,0.32,0.17,0.06,0.01,0.01,
0.091,-0.20,0.32,0.17,0.05,0.01,0.01,
0.1,-0.20,0.32,0.17,0.05,0.00,0.01,
0.1,-0.00,0.31,-0.11,0.05,0.00,0.01,
0.1,-0.00,0.31,-0.11,0.04,0.00,0.01,
0.1,-0.00,0.31,-0.11,0.04,0.01,0.00,
0.101,0.03,0.21,0.03,0.04,0.01,0.00,
0.101,0.03,0.21,0.03,0.04,0.02,0.01,
0.103,0.03,0.21,0.03,0.04,0.04,0.02,
0.104,-0.15,0.34,0.18,0.04,0.04,0.02,
0.107,-0.15,0.34,0.18,0.03,0.04,0.02,
0.108,-0.15,0.34,0.18,0.03,0.03,0.02,
0.109,-0.05,0.30,-0.07,0.03,0.03,0.02,
0.122,-0.05,0.30,-0.07,0.03,0.03,0.02,
0.123,-0.05,0.30,-0.07,0.02,0.03,0.01,
0.123,0.01,0.18,0.06,0.02,0.03,0.01,
0.124,0.01,0.18,0.06,0.02,0.03,0.01,
0.124,0.01,0.18,0.06,0.02,0.03,0.01,
0.125,0.02,0.04,0.09,0.02,0.03,0.01,
0.125,0.02,0.04,0.09,0.02,0.03,0.01,
0.125,0.02,-0.03,0.07,0.02,0.03,0.01,
0.126,0.02,-0.03,0.07,0.02,0.03,0.01,
0.126,0.02,-0.03,0.07,0.02,0.03,0.01,
0.152,0.06,-0.11,0.09,0.02,0.03,0.01,
0.153,0.06,-0.11,0.09,0.02,0.03,0.01,
0.153,0.06,-0.11,0.09,0.02,0.03,0.01,
0.153,0.06,-0.11,0.09,0.02,0.03,0.01,
0.153,0.06,-0.11,0.09,0.02,0.03,0.01,
0.153,0.08,-0.16,0.09,0.02,0.03,0.01,
0.154,0.07,-0.17,0.09,0.02,0.03,0.01,
0.154,0.07,-0.17,0.09,0.02,0.03,0.01,
0.154,0.07,-0.17,0.09,0.02,0.03,0.01,
0.154,0.07,-0.17,0.09,0.02,0.03,0.01,
0.154,0.07,-0.17,0.09,0.02,0.02,0.01,
0.155,0.07,-0.17,0.09,0.02,0.02,0.01,
0.155,0.05,-0.17,0.09,0.02,0.02,0.01,
0.155,0.05,-0.17,0.09,0.02,0.03,0.01,
0.155,0.05,-0.17,0.09,0.02,0.03,0.01,
0.155,0.04,-0.12,0.06,0.02,0.03,0.01,
0.155,0.04,-0.12,0.06,0.02,0.02,0.01,
0.156,0.04,-0.12,0.06,0.02,0.03,0.01,
0.157,0.04,-0.12,0.06,0.03,0.02,0.01,
0.157,0.01,-0.09,0.04,0.03,0.02,0.01,
0.16,0.01,-0.09,0.04,0.03,0.02,0.01,
0.167,-0.01,-0.04,0.01,0.03,0.02,0.01,
0.167,-0.01,-0.04,0.01,0.03,0.02,0.01,
0.167,-0.01,-0.04,0.01,0.02,0.02,0.01,
0.167,-0.02,0.03,0.01,0.02,0.02,0.01,
0.168,-0.02,0.03,0.01,0.02,0.02,0.01,
0.17,-0.02,0.03,0.01,0.02,0.03,0.01,
0.173,-0.05,0.06,-0.03,0.02,0.03,0.01,
0.173,-0.05,0.06,-0.03,0.02,0.03,0.01,
0.175,-0.05,0.06,-0.03,0.02,0.03,0.01,
0.184,-0.05,0.06,-0.03,0.02,0.03,0.01,
0.184,-0.04,0.08,-0.04,0.02,0.03,0.01,
0.184,-0.04,0.08,-0.04,0.02,0.03,0.01,
0.184,-0.04,0.08,-0.04,0.02,0.03,0.01,
0.185,-0.05,0.10,-0.03,0.02,0.03,0.01,
0.185,-0.05,0.10,-0.03,0.02,0.03,0.01,
0.186,-0.05,0.10,-0.03,0.01,0.03,0.01,
0.187,-0.06,0.12,-0.02,0.01,0.03,0.01,
0.189,-0.06,0.12,-0.02,0.01,0.03,0.01,
0.191,-0.06,0.12,-0.02,0.02,0.03,0.01,
0.192,-0.07,0.11,0.01,0.02,0.03,0.01,
0.199,-0.07,0.11,0.01,0.01,0.03,0.01,
0.2,-0.07,0.11,0.01,0.01,0.03,0.01,
0.2,-0.05,0.10,0.05,0.01,0.03,0.01,
0.2,-0.05,0.10,0.05,0.02,0.03,0.01,
0.201,-0.04,0.08,0.06,0.02,0.03,0.01,
0.201,-0.04,0.08,0.06,0.02,0.03,0.01,
0.204,-0.04,0.08,0.06,0.01,0.02,0.01,
0.206,-0.04,0.08,0.06,0.02,0.03,0.01,
0.206,-0.01,0.07,0.07,0.02,0.03,0.01,
0.209,-0.01,0.07,0.07,0.02,0.03,0.01,
0.217,0.04,0.03,0.06,0.02,0.03,0.01,
0.232,0.04,0.03,0.06,0.02,0.02,0.01,
0.233,0.04,0.03,0.06,0.02,0.02,0.01,
0.233,0.04,0.03,0.06,0.02,0.02,0.01,
0.233,0.04,0.02,0.07,0.02,0.02,0.01,
0.234,0.04,0.02,0.07,0.02,0.02,0.01,
0.234,0.04,0.02,0.07,0.02,0.02,0.01,
0.234,0.04,-0.01,0.07,0.02,0.02,0.01,
0.234,0.04,-0.01,0.07,0.02,0.02,0.01,
0.235,0.04,-0.01,0.07,0.02,0.02,0.01,
0.235,0.02,-0.00,0.05,0.02,0.02,0.01,
0.235,0.02,-0.00,0.05,0.02,0.02,0.01,
0.236,0.02,-0.00,0.05,0.02,0.02,0.01,
0.236,-0.00,-0.02,0.03,0.02,0.02,0.01,
0.236,-0.00,-0.02,0.03,0.02,0.03,0.01,
0.236,-0.00,-0.02,0.03,0.02,0.03,0.01,
0.237,-0.02,-0.01,0.05,0.02,0.03,0.01,
0.237,-0.02,-0.01,0.05,0.02,0.03,0.01,
0.245,-0.02,-0.01,0.05,0.02,0.03,0.01,
0.246,-0.03,-0.01,0.02,0.02,0.03,0.01,
0.246,-0.03,-0.01,0.02,0.02,0.03,0.01,
0.246,-0.03,-0.01,0.02,0.02,0.03,0.01,
0.246,-0.05,-0.01,0.01,0.02,0.03,0.01,
0.253,-0.05,-0.01,0.01,0.02,0.03,0.01,
0.253,-0.05,-0.01,0.01,0.02,0.03,0.01,
0.253,-0.06,-0.01,-0.00,0.02,0.03,0.01,
0.253,-0.06,-0.01,-0.00,0.02,0.03,0.01,
0.254,-0.06,-0.01,-0.00,0.02,0.03,0.01,
0.254,-0.06,-0.01,0.01,0.02,0.03,0.01,
0.257,-0.06,-0.01,0.01,0.02,0.03,0.01,
0.264,-0.05,-0.00,-0.00,0.02,0.03,0.01,
0.264,-0.05,-0.00,-0.00,0.02,0.03,0.01,
0.265,-0.05,-0.00,-0.00,0.02,0.03,0.01,
0.265,-0.06,-0.01,-0.02,0.02,0.03,0.01,
0.265,-0.06,-0.01,-0.02,0.02,0.03,0.01,
0.266,-0.06,-0.01,-0.02,0.02,0.02,0.01,
0.269,-0.06,-0.01,-0.02,0.02,0.02,0.01,
0.269,-0.07,0.02,-0.03,0.02,0.02,0.01,
0.271,-0.07,0.02,-0.03,0.02,0.02,0.01,
0.274,-0.04,0.02,-0.02,0.02,0.02,0.01,
0.274,-0.04,0.02,-0.02,0.02,0.02,0.01,
0.281,-0.04,0.02,-0.02,0.02,0.02,0.01,
0.281,-0.04,0.02,-0.02,0.02,0.02,0.01,
0.282,-0.06,0.02,0.01,0.02,0.02,0.01,
0.282,-0.06,0.02,0.01,0.02,0.02,0.01,
0.284,-0.04,0.04,-0.01,0.02,0.02,0.01,
0.284,-0.04,0.04,-0.01,0.02,0.01,0.01,
0.287,-0.04,0.04,-0.01,0.02,0.01,0.01,
0.289,-0.04,0.04,-0.01,0.02,0.02,0.01,
0.289,-0.04,0.03,-0.03,0.02,0.02,0.01,
0.291,-0.04,0.03,-0.03,0.02,0.01,0.01,
0.299,-0.04,0.03,-0.03,0.02,0.01,0.01,
0.3,-0.03,0.03,-0.01,0.02,0.01,0.01,
0.3,-0.03,0.03,-0.01,0.02,0.01,0.01,
0.3,-0.02,0.01,-0.01,0.02,0.01,0.01,
0.3,-0.02,0.01,-0.01,0.02,0.01,0.01,
0.3,-0.02,0.01,-0.01,0.02,0.01,0.01,
0.303,-0.02,-0.01,-0.01,0.02,0.01,0.01,
0.303,-0.02,-0.01,-0.01,0.02,0.01,0.01,
0.305,-0.02,-0.01,-0.01,0.02,0.01,0.01,
0.308,-0.02,-0.01,-0.01,0.02,0.01,0.01,
0.308,-0.01,0.01,0.01,0.02,0.01,0.01,
0.315,-0.01,0.01,0.01,0.01,0.01,0.01,
