
time,ax,ay,az,wx,wy,wz,
0.002,0.12,0.12,-0.07,0.00,-0.01,0.01,
0.003,0.11,0.01,-0.04,0.00,-0.01,0.01,
0.003,0.11,0.01,-0.04,-0.00,-0.01,0.01,
0.003,0.11,0.01,-0.04,-0.00,-0.01,0.00,
0.004,0.09,-0.04,-0.02,-0.00,-0.01,0.00,
0.004,0.09,-0.04,-0.02,0.00,-0.01,0.01,
0.006,0.09,-0.04,-0.02,0.00,-0.02,0.01,
0.007,0.08,-0.06,0.01,0.00,-0.02,0.01,
0.008,0.08,-0.06,0.01,0.00,-0.02,0.01,
0.01,0.05,-0.07,0.03,0.00,-0.02,0.01,
0.012,0.05,-0.07,0.03,0.00,-0.01,0.01,
0.013,0.05,-0.07,0.03,0.00,-0.01,0.01,
0.015,0.04,-0.04,0.04,0.00,-0.01,0.01,
0.016,0.04,-0.04,0.04,0.00,-0.01,0.00,
0.018,0.04,-0.04,0.04,0.00,-0.01,0.00,
0.021,0.04,-0.04,0.04,0.00,-0.01,0.00,
0.021,0.03,-0.01,0.06,0.00,-0.01,0.00,
0.023,0.03,-0.01,0.06,0.00,-0.01,0.00,
0.025,0.03,-0.01,0.06,0.00,-0.01,0.00,
0.026,0.05,-0.00,0.06,0.00,-0.01,0.00,
0.029,0.05,-0.00,0.06,0.00,-0.01,-0.00,
0.03,0.05,-0.00,0.06,0.00,-0.01,-0.00,
0.031,0.03,0.01,0.07,0.00,-0.01,-0.00,
0.033,0.03,0.01,0.07,0.00,-0.01,-0.00,
0.035,0.02,0.02,0.06,0.00,-0.01,-0.00,
0.035,0.02,0.02,0.06,0.00,-0.01,-0.00,
0.037,0.02,0.02,0.06,0.01,-0.01,-0.00,
0.04,0.02,0.02,0.06,0.00,-0.01,-0.01,
0.04,0.02,0.03,0.07,0.00,-0.01,-0.01,
0.042,0.02,0.03,0.07,0.00,-0.01,-0.01,
0.046,0.00,0.04,0.07,0.00,-0.01,-0.01,
0.046,0.00,0.04,0.07,0.00,-0.01,-0.01,
0.047,0.00,0.04,0.07,0.00,-0.01,-0.01,
0.05,0.00,0.04,0.07,0.00,-0.01,-0.01,
0.051,-0.02,0.05,0.05,0.00,-0.01,-0.01,
0.052,-0.02,0.05,0.05,0.00,-0.01,-0.01,
0.055,-0.03,0.07,0.04,0.00,-0.01,-0.01,
0.056,-0.03,0.07,0.04,-0.00,-0.01,-0.01,
0.057,-0.03,0.07,0.04,0.00,-0.01,-0.01,
0.059,-0.03,0.07,0.04,-0.00,-0.01,-0.01,
0.06,-0.05,0.10,0.01,-0.00,-0.01,-0.01,
0.075,-0.05,0.10,0.01,-0.00,-0.01,-0.01,
0.076,-0.05,0.10,0.01,-0.00,-0.01,-0.01,
0.076,-0.05,0.09,-0.03,-0.00,-0.01,-0.01,
0.077,-0.05,0.09,-0.03,-0.00,-0.01,-0.01,
0.077,-0.03,0.08,-0.02,-0.00,-0.01,-0.01,
0.077,-0.03,0.08,-0.02,-0.00,-0.01,-0.01,
0.078,-0.03,0.08,-0.02,-0.01,-0.01,-0.01,
0.078,-0.04,0.06,-0.03,-0.01,-0.01,-0.01,
0.079,-0.04,0.06,-0.03,-0.01,-0.01,-0.01,
0.079,-0.04,0.06,-0.03,-0.01,-0.01,-0.01,
0.08,-0.04,0.06,-0.03,-0.01,-0.01,-0.01,
0.08,-0.03,0.04,-0.03,-0.01,-0.01,-0.01,
0.083,-0.03,0.04,-0.03,-0.01,-0.01,-0.01,
0.097,-0.03,-0.00,-0.02,-0.01,-0.01,-0.01,
