
time,ax,ay,az,wx,wy,wz,
0.002,0.06,-0.09,0.00,0.00,-0.01,0.01,
0.003,0.06,-0.09,0.00,0.00,-0.01,0.01,
0.004,0.06,-0.09,0.00,0.01,-0.01,0.01,
0.004,0.06,-0.02,-0.01,0.01,-0.01,0.01,
0.004,0.06,-0.02,-0.01,0.01,-0.01,0.02,
0.005,0.06,-0.02,-0.01,0.01,-0.01,0.01,
0.005,0.06,0.02,-0.03,0.01,-0.01,0.01,
0.006,0.06,0.02,-0.03,0.01,-0.01,0.01,
0.008,0.06,0.02,-0.03,0.01,-0.01,0.01,
0.009,0.05,0.02,-0.01,0.01,-0.01,0.01,
0.01,0.05,0.02,-0.01,0.01,-0.01,0.01,
0.013,0.05,0.02,-0.01,0.01,-0.00,0.01,
0.014,0.05,0.02,-0.01,0.01,-0.00,0.01,
0.014,0.04,0.00,-0.00,0.01,-0.00,0.01,
0.016,0.04,0.00,-0.00,0.01,0.01,0.01,
0.019,0.04,-0.02,0.02,0.01,0.01,0.01,
0.019,0.04,-0.02,0.02,0.01,0.01,0.01,
0.021,0.04,-0.02,0.02,0.00,0.02,0.01,
0.024,0.04,-0.02,0.02,0.01,0.02,0.01,
0.024,0.03,-0.04,0.01,0.01,0.02,0.01,
0.026,0.03,-0.04,0.01,0.01,0.02,0.01,
0.035,0.03,-0.04,0.01,0.01,0.03,0.02,
0.035,-0.02,0.01,-0.00,0.01,0.03,0.02,
0.036,-0.02,0.01,-0.00,0.00,0.04,0.02,
0.036,0.09,0.22,-0.04,0.00,0.04,0.02,
0.036,0.09,0.22,-0.04,0.00,0.04,0.02,
0.037,0.09,0.22,-0.04,-0.00,0.04,0.02,
0.04,0.09,0.22,-0.04,0.00,0.04,0.02,
0.04,0.05,0.11,-0.02,0.00,0.04,0.02,
0.042,0.05,0.11,-0.02,0.00,0.05,0.02,
0.044,0.01,0.00,-0.02,0.00,0.05,0.02,
0.044,0.01,0.00,-0.02,0.00,0.05,0.02,
0.046,0.01,0.00,-0.02,0.00,0.04,0.02,
0.049,-0.05,-0.06,0.01,0.00,0.04,0.02,
0.049,-0.05,-0.06,0.01,0.00,0.05,0.02,
0.05,-0.05,-0.06,0.01,0.01,0.05,0.02,
0.054,-0.00,-0.07,-0.01,0.01,0.05,0.02,
0.054,-0.00,-0.07,-0.01,0.00,0.05,0.02,
0.056,-0.00,-0.07,-0.01,0.01,0.05,0.02,
0.058,-0.00,-0.07,-0.01,0.01,0.05,0.02,
0.058,-0.03,-0.05,-0.02,0.01,0.05,0.02,
