@ HyperIMU - ianovir
@ Date:Sun Jul 19 20:25:43 GMT+08:00 2020, Sampling Rate:100ms

timestamp,LSM6DSM_Gyroscope.x,LSM6DSM_Gyroscope.y,LSM6DSM_Gyroscope.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z
1595161543885,0.0,0.0,0.0,0.0,0.0,0.0
1595161543986,-0.10958862,0.033340454,-0.018203735,0.06489819,0.014453888,-0.1526502
1595161544088,-0.065597534,0.046783447,-0.004776001,-0.029382229,0.17573643,0.17431542
1595161544186,-0.3673706,0.1298523,-0.05241394,-0.06127405,0.20291519,0.09437099
1595161544287,-0.7619934,0.18606567,-0.15260315,-0.13664722,0.088378906,-0.1702438
1595161544388,-1.3178711,0.04801941,-0.2662201,-0.19470355,-0.085764885,-1.031103
1595161544489,-1.1541595,-0.028961182,-0.4482422,2.1271026,-0.38715458,-0.9253938
1595161544590,-1.1455994,0.17262268,-0.10127258,0.97827613,-0.42279053,-1.2895188
1595161544691,-0.924469,0.3082428,-0.114715576,1.037501,0.34806633,0.013751507
1595161544792,-1.1358337,0.52449036,0.037994385,-0.69005805,-0.30256367,0.053668022
1595161544893,-1.3276367,0.8775482,0.12104797,-1.014318,-0.65024996,0.14705706
1595161544991,-1.1199493,0.8653412,0.2639923,-1.7673517,-1.957438,0.19491339
1595161545092,-0.80841064,0.70407104,0.11984253,-1.3628001,-1.6623368,0.92476225
1595161545193,-0.6373596,0.42796326,0.08439636,-2.2760825,-1.8215346,1.1912174
1595161545294,-0.19998169,-0.017959595,-0.03652954,-1.909981,-1.5376039,0.9869089
1595161545394,0.06266785,-0.0692749,-0.042633057,-1.0133469,-1.4464216,0.6200161
1595161545495,0.44262695,-0.47731018,0.008666992,-2.0677164,-1.7233901,0.2855234
1595161545596,0.31922913,-0.67645264,-0.003540039,0.6627146,0.35247803,0.0055980682
1595161545697,0.23002625,-0.6727905,-0.35661316,1.6707586,2.0723114,-1.3084126
1595161545798,0.028457642,-0.35881042,-0.3053131,1.1552263,1.5237598,-0.94379044
1595161545898,0.1298523,0.08467102,-0.06462097,1.6969788,1.1759591,-1.3825388
1595161545999,-0.049713135,0.061447144,-0.07929993,1.8259745,1.4242458,-1.0958395
1595161546100,-0.12423706,0.2593689,0.2982025,0.72540534,0.38099718,-0.56130886
1595161546201,-0.3380432,0.37298584,0.08683777,-1.0953653,-0.3543563,0.18029594
1595161546302,-0.47608948,0.80303955,0.3617401,-1.6252089,-1.9308987,0.37995434
1595161546403,-0.30995178,0.39863586,0.2884369,-2.3083367,-0.7913852,0.045942307
1595161546503,-0.033828735,0.2972412,0.13449097,-1.9437783,-1.3002815,0.7181282
1595161546604,0.19093323,-0.10467529,0.09295654,-1.6987906,-1.0949316,0.59493923
1595161546704,0.36686707,-0.12423706,0.085632324,-1.3543832,-1.3808656,0.46701145
1595161546805,0.5415802,-0.6165924,0.057540894,-1.8909948,-1.0473537,0.17347527
1595161546906,0.34854126,-0.66056824,-0.13548279,0.79096997,0.3746295,-0.73067284
1595161547005,0.11274719,-0.75709534,-0.42503357,1.7002107,2.4117599,-1.1512189
1595161547106,0.011352539,-0.45532227,-0.38349915,1.7203505,1.1494455,-1.2969007
1595161547207,-8.544922E-4,-0.18409729,-0.15016174,1.8171185,1.7618575,-1.5208869
1595161547307,-0.15234375,0.17874146,-0.18681335,2.3127227,1.0763993,-1.1718521
1595161547408,-0.12423706,0.534256,0.09661865,1.7938328,0.59425735,-0.69955635
1595161547509,-0.49931335,0.613678,0.12838745,-0.6818838,1.0719242,-0.114598274
1595161547609,-0.47732544,0.6869812,0.19680786,-1.5674692,-0.7726078,0.36978054
1595161547710,-0.47000122,0.7236328,0.14305115,-2.049952,-1.5771422,0.5884943
1595161547811,-0.17312622,0.49760437,0.11250305,-1.3591597,-1.4406781,0.307909
1595161547912,0.0015869141,-0.061950684,0.04043579,-1.8780074,-0.9351814,0.38995075
