@ HyperIMU - ianovir
@ Date:Fri Jul 24 16:42:57 GMT+08:00 2020, Sampling Rate:100ms

timestamp,LSM6DSM_Gyroscope.x,LSM6DSM_Gyroscope.y,LSM6DSM_Gyroscope.z,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z
1595580177845,0.0,0.0,0.0,0.0,0.0,0.0
1595580177945,-0.37535095,0.017501831,0.028518677,0.022720786,0.42213917,0.23170853
1595580178046,-0.80662537,0.024841309,0.10057068,-0.018451877,-0.25925446,-0.13513505
1595580178147,-1.3820496,0.3021698,0.030960083,-0.05827093,-4.7860594,0.058069915
1595580178247,-1.3515167,0.03704834,-0.07899475,0.336874,-3.0275521,-0.05440706
1595580178348,-1.3356323,0.087142944,-0.2879181,-0.8657684,-0.5278096,0.27441442
1595580178449,-1.0754089,-0.3392334,-0.31356812,-0.16321573,2.2354069,0.91292
1595580178551,-0.89945984,-0.26837158,-0.34288025,-0.36918104,4.5512733,4.0067625
1595580178652,-0.6697998,0.08224487,-0.059448242,0.19505304,9.233406,7.025139
1595580178753,-0.16156006,0.17510986,0.26916504,-0.9009637,5.983224,5.7155137
1595580178855,0.72050476,-0.1315155,0.32658386,-0.11582959,2.600788,2.4568715
1595580178951,2.358841,-0.45529175,-0.17428589,0.3191568,2.414196,3.1287527
1595580179056,3.4168549,0.21788025,0.10180664,-0.5384734,-5.8171797,-0.5079427
1595580179155,0.1914978,-0.48214722,0.31925964,0.984341,-1.5431738,0.5155431
1595580179256,0.8842163,-0.05822754,-0.23294067,-0.28401297,-11.355928,-0.7243775
1595580179356,-0.5525055,0.017501831,-0.13519287,-0.09482455,-9.000027,1.2815583
1595580179457,-0.099243164,0.26063538,-0.2292633,0.36560065,-8.918528,0.13340336
1595580179559,-1.4052582,0.6760254,-0.39541626,-0.39008504,7.047594,-1.0075039
1595580179660,-0.9422302,-0.08753967,0.115234375,0.26421434,11.997741,3.6587095
1595580179761,0.060791016,-0.0423584,0.05293274,-0.20404369,4.7010546,0.62605655
1595580179862,0.19029236,-0.08633423,0.05783081,0.21730185,-3.8310232,-0.34947753
1595580179961,0.055908203,0.028503418,0.04560852,0.31949782,-3.5919352,-0.12985039
1595580180061,-0.043045044,0.08959961,-0.020355225,0.19233882,-0.7532892,-0.41749597
1595580180162,-0.076034546,0.063934326,0.0016326904,-0.089781165,0.17151928,-0.7126839
1595580180263,-0.4095459,-0.072906494,0.06147766,-0.047074974,-1.5778131,-1.1715957
1595580180364,-0.9190216,-0.10342407,0.05293274,-0.13816682,-4.3482647,-1.7412505
1595580180466,-1.4407043,-0.16572571,0.043167114,0.40791544,-2.4610157,-1.4153337
1595580180567,-1.47612,0.14822388,-0.1290741,-0.065500826,0.24083519,0.3532896
1595580180668,-1.065628,0.16046143,-0.104660034,-0.4085405,5.1245604,5.541308
1595580180769,-0.032058716,0.12257385,0.118896484,-0.46856767,8.730128,7.4532323
1595580180870,0.37355042,0.09080505,0.37057495,0.26611096,3.8357768,3.9659476
1595580180969,1.2140961,-0.28422546,0.06515503,-0.21243072,3.1496964,4.0090327
1595580181069,3.0637817,0.24841309,0.2032013,1.4138663,5.2848196,3.8557184
1595580181170,2.708252,0.13113403,-0.12174988,-1.774308,-18.983253,-4.43764
1595580181271,-0.3106079,-0.296463,-0.055786133,-0.39894238,-7.6085625,-0.49774083
1595580181371,0.32711792,-0.06678772,-0.3184662,0.37688452,-11.507427,0.5455005
1595580181472,0.23059082,0.24230957,-0.060668945,0.3813733,-9.732422,0.01820767
1595580181573,0.014373779,0.051712036,0.2386322,-0.8852614,-7.4418306,1.3943878
1595580181675,-2.4437408,-0.30134583,0.13233948,-2.361158,14.393795,1.3029685
